Date,Q (ft3/s),  
11/12/1980,"4,000",  
11/13/1980,"3,300",  
11/14/1980,"3,000",  
11/15/1980,"3,000",  
11/16/1980,"3,500",  
11/17/1980,"5,300",  
11/18/1980,"8,100",  
11/19/1980,"9,400",  
11/20/1980,"9,700",  
11/21/1980,"9,700",  
11/22/1980,"9,400",  
11/23/1980,"9,300",  
11/24/1980,"8,900",  
11/25/1980,"8,500",  
11/26/1980,"8,400",  
11/27/1980,"8,700",  
11/28/1980,"8,400",  
11/29/1980,"8,000",  
11/30/1980,"7,800",  
12/1/1980,"7,600",  
12/2/1980,"7,300",  
12/3/1980,"7,100",  
12/4/1980,"7,000",  
12/5/1980,"6,800",  
12/6/1980,"6,400",  
12/7/1980,"6,200",  
12/8/1980,"6,100",  
12/9/1980,"6,000",  
12/10/1980,"5,900",  
12/11/1980,"6,900",  
12/12/1980,"11,000",  
12/13/1980,"20,000",  
12/14/1980,"31,000",  
12/15/1980,"32,000",  
12/16/1980,"28,000",  
12/17/1980,"25,000",  
12/18/1980,"23,000",  
12/19/1980,"21,000",  
12/20/1980,"18,000",  
12/21/1980,"16,000",  
12/22/1980,"15,000",  
12/23/1980,"14,000",  
12/24/1980,"13,000",  
12/25/1980,"12,000",  
12/26/1980,"12,000",  
12/27/1980,"11,000",  
12/28/1980,"10,000",  
12/29/1980,"10,000",  
12/30/1980,"10,000",  
12/31/1980,"9,400",  
1/1/1981,"8,200",  
1/2/1981,"7,200",  
1/3/1981,"6,100",  
1/4/1981,"5,200",  
1/5/1981,"4,400",  
1/6/1981,"4,100",  
1/7/1981,"4,000",  
1/8/1981,"3,900",  
1/9/1981,"4,200",  
1/10/1981,"4,300",  
1/11/1981,"3,900",  
1/12/1981,"3,900",  
1/13/1981,"3,900",  
1/14/1981,"3,800",  
1/15/1981,"3,900",  
1/16/1981,"3,900",  
1/17/1981,"3,700",  
1/18/1981,"3,600",  
1/19/1981,"3,600",  
1/20/1981,"3,600",  
1/21/1981,"3,500",  
1/22/1981,"4,500",  
1/23/1981,"5,200",  
1/24/1981,"4,800",  
1/25/1981,"4,000",  
1/26/1981,"3,100",  
1/27/1981,"3,100",  
1/28/1981,"3,100",  
1/29/1981,"3,100",  
1/30/1981,"3,800",  
1/31/1981,"3,900",  
2/1/1981,"4,100",  
2/2/1981,"3,900",  
2/3/1981,"4,100",  
2/4/1981,"6,700",  
2/5/1981,"8,900",  
2/6/1981,"9,100",  
2/7/1981,"8,700",  
2/8/1981,"8,100",  
2/9/1981,"7,600",  
2/10/1981,"8,400",  
2/11/1981,"8,200",  
2/12/1981,"7,300",  
2/13/1981,"7,800",  
2/14/1981,"8,600",  
2/15/1981,"9,300",  
2/16/1981,"9,900",  
2/17/1981,"11,000",  
2/18/1981,"13,000",  
2/19/1981,"13,000",  
2/20/1981,"13,000",  
2/21/1981,"12,000",  
2/22/1981,"12,000",  
2/23/1981,"11,000",  
2/24/1981,"11,000",  
2/25/1981,"11,000",  
2/26/1981,"10,000",  
2/27/1981,"9,400",  
2/28/1981,"8,700",  
3/1/1981,"8,700",  
3/2/1981,"9,000",  
3/3/1981,"9,000",  
3/4/1981,"7,600",  
3/5/1981,"8,100",  
3/6/1981,"9,300",  
3/7/1981,"15,000",  
3/8/1981,"24,000",  
3/9/1981,"30,000",  
3/10/1981,"31,000",  
3/11/1981,"28,000",  
3/12/1981,"25,000",  
3/13/1981,"22,000",  
3/14/1981,"20,000",  
3/15/1981,"16,000",  
3/16/1981,"14,000",  
3/17/1981,"12,000",  
3/18/1981,"11,000",  
3/19/1981,"10,000",  
3/20/1981,"9,400",  
3/21/1981,"9,000",  
3/22/1981,"9,000",  
3/23/1981,"8,900",  
3/24/1981,"8,800",  
3/25/1981,"8,800",  
3/26/1981,"8,700",  
3/27/1981,"8,300",  
3/28/1981,"8,000",  
3/29/1981,"7,900",  
3/30/1981,"7,700",  
3/31/1981,"7,500",  
4/1/1981,"8,100",  
4/2/1981,"9,200",  
4/3/1981,"9,400",  
4/4/1981,"9,300",  
4/5/1981,"9,400",  
4/6/1981,"9,200",  
4/7/1981,"8,900",  
4/8/1981,"8,300",  
4/9/1981,"8,000",  
4/10/1981,"7,800",  
4/11/1981,"7,800",  
4/12/1981,"7,800",  
4/13/1981,"7,400",  
4/14/1981,"6,800",  
4/15/1981,"6,200",  
4/16/1981,"5,700",  
4/17/1981,"5,200",  
4/18/1981,"4,700",  
4/19/1981,"4,500",  
4/20/1981,"4,200",  
4/21/1981,"3,700",  
